layer, layer_0 , layer_1 , layer_2 , layer_3 , layer_4 , layer_5 , layer_6 , layer_7 , layer_8 , layer_9 , layer_10, layer_11, layer_12, layer_13, layer_14, layer_15, layer_16, layer_17, layer_18, layer_19, layer_20, layer_21 , layer_22 , layer_23
    0, 1.000000, 0.903795, 0.787017, 0.638358, 0.500832, 0.431229, 0.357151, 0.307445, 0.257154, 0.221907, 0.187119, 0.171825, 0.160562, 0.143113, 0.125986, 0.107980, 0.101010, 0.090274, 0.093358, 0.091259, 0.088847, 0.073394 , 0.065291 , 0.099984
    1, 0.903795, 1.000000, 0.899448, 0.777021, 0.636890, 0.548391, 0.458308, 0.393446, 0.324289, 0.280407, 0.239849, 0.217825, 0.201577, 0.183095, 0.160041, 0.135203, 0.121981, 0.104780, 0.103956, 0.102268, 0.100239, 0.078238 , 0.058140 , 0.107692
    2, 0.787017, 0.899448, 1.000000, 0.882212, 0.756635, 0.671034, 0.546825, 0.471516, 0.392613, 0.334478, 0.281979, 0.254866, 0.231514, 0.203492, 0.177486, 0.146963, 0.132966, 0.115956, 0.118170, 0.114674, 0.114733, 0.087427 , 0.066221 , 0.109498
    3, 0.638358, 0.777021, 0.882212, 1.000000, 0.898765, 0.794831, 0.684885, 0.591635, 0.489132, 0.417294, 0.352554, 0.312094, 0.278128, 0.242285, 0.208416, 0.174855, 0.155024, 0.135635, 0.130250, 0.125627, 0.124756, 0.096979 , 0.072843 , 0.097223
    4, 0.500832, 0.636890, 0.756635, 0.898765, 1.000000, 0.897242, 0.791073, 0.681435, 0.555351, 0.467109, 0.390630, 0.341108, 0.299838, 0.258166, 0.218852, 0.185374, 0.163994, 0.143068, 0.134252, 0.127782, 0.127217, 0.101313 , 0.079661 , 0.085342
    5, 0.431229, 0.548391, 0.671034, 0.794831, 0.897242, 1.000000, 0.868793, 0.764294, 0.631466, 0.529705, 0.442540, 0.384149, 0.334524, 0.286210, 0.242853, 0.201339, 0.177875, 0.154744, 0.149710, 0.144370, 0.143348, 0.113570 , 0.091509 , 0.081519
    6, 0.357151, 0.458308, 0.546825, 0.684885, 0.791073, 0.868793, 1.000000, 0.883766, 0.735935, 0.619708, 0.519931, 0.446915, 0.386599, 0.329806, 0.280722, 0.239932, 0.212233, 0.189377, 0.176171, 0.166559, 0.159134, 0.137796 , 0.119881 , 0.078022
    7, 0.307445, 0.393446, 0.471516, 0.591635, 0.681435, 0.764294, 0.883766, 1.000000, 0.847692, 0.720754, 0.607737, 0.525595, 0.452661, 0.385378, 0.331362, 0.284081, 0.251829, 0.227762, 0.215238, 0.202377, 0.193480, 0.170207 , 0.151825 , 0.073587
    8, 0.257154, 0.324289, 0.392613, 0.489132, 0.555351, 0.631466, 0.735935, 0.847692, 1.000000, 0.843975, 0.721846, 0.625707, 0.538860, 0.459465, 0.398450, 0.340657, 0.302231, 0.275896, 0.258251, 0.243022, 0.229239, 0.206542 , 0.186301 , 0.072416
    9, 0.221907, 0.280407, 0.334478, 0.417294, 0.467109, 0.529705, 0.619708, 0.720754, 0.843975, 1.000000, 0.847797, 0.733558, 0.633508, 0.543542, 0.469985, 0.402482, 0.356822, 0.323323, 0.301502, 0.279932, 0.261888, 0.233702 , 0.209897 , 0.077878
   10, 0.187119, 0.239849, 0.281979, 0.352554, 0.390630, 0.442540, 0.519931, 0.607737, 0.721846, 0.847797, 1.000000, 0.855837, 0.741718, 0.639839, 0.558640, 0.480467, 0.425652, 0.386240, 0.357943, 0.333406, 0.311734, 0.278395 , 0.249235 , 0.077701
   11, 0.171825, 0.217825, 0.254866, 0.312094, 0.341108, 0.384149, 0.446915, 0.525595, 0.625707, 0.733558, 0.855837, 1.000000, 0.859564, 0.747265, 0.655954, 0.566329, 0.501543, 0.454087, 0.417470, 0.389796, 0.366904, 0.328893 , 0.298791 , 0.064201
   12, 0.160562, 0.201577, 0.231514, 0.278128, 0.299838, 0.334524, 0.386599, 0.452661, 0.538860, 0.633508, 0.741718, 0.859564, 1.000000, 0.861775, 0.759960, 0.662606, 0.584575, 0.527910, 0.482050, 0.449667, 0.422717, 0.374419 , 0.339186 , 0.075642
   13, 0.143113, 0.183095, 0.203492, 0.242285, 0.258166, 0.286210, 0.329806, 0.385378, 0.459465, 0.543542, 0.639839, 0.747265, 0.861775, 1.000000, 0.872613, 0.764655, 0.677869, 0.603474, 0.546205, 0.505717, 0.470129, 0.415101 , 0.377008 , 0.060348
   14, 0.125986, 0.160041, 0.177486, 0.208416, 0.218852, 0.242853, 0.280722, 0.331362, 0.398450, 0.469985, 0.558640, 0.655954, 0.759960, 0.872613, 1.000000, 0.874210, 0.782283, 0.700235, 0.630934, 0.584564, 0.542587, 0.486447 , 0.437765 , 0.063792
   15, 0.107980, 0.135203, 0.146963, 0.174855, 0.185374, 0.201339, 0.239932, 0.284081, 0.340657, 0.402482, 0.480467, 0.566329, 0.662606, 0.764655, 0.874210, 1.000000, 0.890648, 0.799115, 0.716071, 0.661088, 0.610765, 0.550098 , 0.496164 , 0.054076
   16, 0.101010, 0.121981, 0.132966, 0.155024, 0.163994, 0.177875, 0.212233, 0.251829, 0.302231, 0.356822, 0.425652, 0.501543, 0.584575, 0.677869, 0.782283, 0.890648, 1.000000, 0.895143, 0.805445, 0.741535, 0.681150, 0.610341 , 0.547799 , 0.053701
   17, 0.090274, 0.104780, 0.115956, 0.135635, 0.143068, 0.154744, 0.189377, 0.227762, 0.275896, 0.323323, 0.386240, 0.454087, 0.527910, 0.603474, 0.700235, 0.799115, 0.895143, 1.000000, 0.901822, 0.833260, 0.762501, 0.683506 , 0.613495 , 0.057210
   18, 0.093358, 0.103956, 0.118170, 0.130250, 0.134252, 0.149710, 0.176171, 0.215238, 0.258251, 0.301502, 0.357943, 0.417470, 0.482050, 0.546205, 0.630934, 0.716071, 0.805445, 0.901822, 1.000000, 0.922164, 0.842051, 0.748775 , 0.671659 , 0.048961
   19, 0.091259, 0.102268, 0.114674, 0.125627, 0.127782, 0.144370, 0.166559, 0.202377, 0.243022, 0.279932, 0.333406, 0.389796, 0.449667, 0.505717, 0.584564, 0.661088, 0.741535, 0.833260, 0.922164, 1.000000, 0.917003, 0.812852 , 0.718076 , 0.049039
   20, 0.088847, 0.100239, 0.114733, 0.124756, 0.127217, 0.143348, 0.159134, 0.193480, 0.229239, 0.261888, 0.311734, 0.366904, 0.422717, 0.470129, 0.542587, 0.610765, 0.681150, 0.762501, 0.842051, 0.917003, 1.000000, 0.878543 , 0.760044 , 0.053855
   21, 0.073394, 0.078238, 0.087427, 0.096979, 0.101313, 0.113570, 0.137796, 0.170207, 0.206542, 0.233702, 0.278395, 0.328893, 0.374419, 0.415101, 0.486447, 0.550098, 0.610341, 0.683506, 0.748775, 0.812852, 0.878543, 1.000000 , 0.856048 , -0.014542
   22, 0.065291, 0.058140, 0.066221, 0.072843, 0.079661, 0.091509, 0.119881, 0.151825, 0.186301, 0.209897, 0.249235, 0.298791, 0.339186, 0.377008, 0.437765, 0.496164, 0.547799, 0.613495, 0.671659, 0.718076, 0.760044, 0.856048 , 1.000000 , -0.151435
   23, 0.099984, 0.107692, 0.109498, 0.097223, 0.085342, 0.081519, 0.078022, 0.073587, 0.072416, 0.077878, 0.077701, 0.064201, 0.075642, 0.060348, 0.063792, 0.054076, 0.053701, 0.057210, 0.048961, 0.049039, 0.053855, -0.014542, -0.151435, 1.000000
